m,p,Lambda,rescale,model,terms,coeffs,sparsity,loss,R2,rel_L2,cond_G,coeff_err
"[9, 15]","[15, 12]",0.0001623776739188721,False,u_{t} = + 0.00(1) + 0.12(u) - 0.00(u^2) + 0.01(u)_{x} - 0.27(u^2)_{x} + 0.04(u)_{xx} - 0.00(u^2)_{xx} + 0.01(u)_{xxx} - 0.06(u^2)_{xxx} - 0.09(u)_{xxxx} - 0.00(u^2)_{xxxx},"['(1)', '(u)', '(u^2)', '(u)_{x}', '(u^2)_{x}', '(u)_{xx}', '(u^2)_{xx}', '(u)_{xxx}', '(u^2)_{xxx}', '(u)_{xxxx}', '(u^2)_{xxxx}']","[0.002701493350210986, 0.11780739352327789, -0.0009988756521576165, 0.006610046532298696, -0.27314300419156967, 0.041542362638223376, -0.003623580568575211, 0.00711004653534943, -0.05761425411185165, -0.09193467295020326, -0.00046782997677834377]",11,1.0,0.44621451501571596,0.7441676443834638,32.80655184447569,1.0415423626382234
"[9, 15]","[15, 12]",0.00026366508987303583,False,u_{t} = + 0.00(1) + 0.12(u) - 0.00(u^2) + 0.01(u)_{x} - 0.27(u^2)_{x} + 0.04(u)_{xx} - 0.00(u^2)_{xx} + 0.01(u)_{xxx} - 0.06(u^2)_{xxx} - 0.09(u)_{xxxx} - 0.00(u^2)_{xxxx},"['(1)', '(u)', '(u^2)', '(u)_{x}', '(u^2)_{x}', '(u)_{xx}', '(u^2)_{xx}', '(u)_{xxx}', '(u^2)_{xxx}', '(u)_{xxxx}', '(u^2)_{xxxx}']","[0.002701493350210986, 0.11780739352327789, -0.0009988756521576165, 0.006610046532298696, -0.27314300419156967, 0.041542362638223376, -0.003623580568575211, 0.00711004653534943, -0.05761425411185165, -0.09193467295020326, -0.00046782997677834377]",11,1.0,0.44621451501571596,0.7441676443834638,32.80655184447569,1.0415423626382234
"[9, 15]","[15, 12]",0.00042813323987193956,False,u_{t} = + 0.00(1) + 0.12(u) - 0.00(u^2) + 0.01(u)_{x} - 0.27(u^2)_{x} + 0.04(u)_{xx} - 0.00(u^2)_{xx} + 0.01(u)_{xxx} - 0.06(u^2)_{xxx} - 0.09(u)_{xxxx} - 0.00(u^2)_{xxxx},"['(1)', '(u)', '(u^2)', '(u)_{x}', '(u^2)_{x}', '(u)_{xx}', '(u^2)_{xx}', '(u)_{xxx}', '(u^2)_{xxx}', '(u)_{xxxx}', '(u^2)_{xxxx}']","[0.002701493350210986, 0.11780739352327789, -0.0009988756521576165, 0.006610046532298696, -0.27314300419156967, 0.041542362638223376, -0.003623580568575211, 0.00711004653534943, -0.05761425411185165, -0.09193467295020326, -0.00046782997677834377]",11,1.0,0.44621451501571596,0.7441676443834638,32.80655184447569,1.0415423626382234
"[9, 15]","[15, 12]",0.0006951927961775606,False,u_{t} = + 0.00(1) + 0.12(u) - 0.00(u^2) + 0.01(u)_{x} - 0.27(u^2)_{x} + 0.04(u)_{xx} - 0.00(u^2)_{xx} + 0.01(u)_{xxx} - 0.06(u^2)_{xxx} - 0.09(u)_{xxxx},"['(1)', '(u)', '(u^2)', '(u)_{x}', '(u^2)_{x}', '(u)_{xx}', '(u^2)_{xx}', '(u)_{xxx}', '(u^2)_{xxx}', '(u)_{xxxx}']","[0.002306521653467626, 0.11779032674325772, -0.0006967379667951249, 0.005478463489286145, -0.27313422938015897, 0.04152556566805867, -0.0016755092883012337, 0.005576258975915697, -0.05761289861612505, -0.09193660418069625]",10,0.9167132845910355,0.44618858968076325,0.7441850631946934,32.80655184447569,1.0415255656680587
"[9, 15]","[15, 12]",0.0011288378916846883,False,u_{t} = + 0.00(1) + 0.12(u) + 0.01(u)_{x} - 0.27(u^2)_{x} + 0.04(u)_{xx} - 0.00(u^2)_{xx} + 0.01(u)_{xxx} - 0.06(u^2)_{xxx} - 0.09(u)_{xxxx},"['(1)', '(u)', '(u)_{x}', '(u^2)_{x}', '(u)_{xx}', '(u^2)_{xx}', '(u)_{xxx}', '(u^2)_{xxx}', '(u)_{xxxx}']","[0.0013903878228462472, 0.11776058302665424, 0.006434202172469947, -0.27311524392557524, 0.0414810246496546, -0.0015155706453438933, 0.0063787611948256905, -0.057608967095764976, -0.09194225225502843]",9,0.8274827962758794,0.4461759138037875,0.7441935797620276,32.80655184447569,1.0414810246496546
"[9, 15]","[15, 12]",0.0018329807108324356,False,u_{t} = + 0.12(u) + 0.00(u)_{x} - 0.27(u^2)_{x} + 0.04(u)_{xx} + 0.00(u)_{xxx} - 0.06(u^2)_{xxx} - 0.09(u)_{xxxx},"['(u)', '(u)_{x}', '(u^2)_{x}', '(u)_{xx}', '(u)_{xxx}', '(u^2)_{xxx}', '(u)_{xxxx}']","[0.11767777317252692, 0.0033405246714861988, -0.27307003575610117, 0.04137192468622571, 0.0021031601512261975, -0.05759796547881889, -0.09193380772843111]",7,0.6565514287813211,0.44603266164390976,0.7442898201093261,32.80655184447569,1.0413719246862256
"[9, 15]","[15, 12]",0.002976351441631319,False,u_{t} = + 0.12(u) - 0.27(u^2)_{x} + 0.04(u)_{xx} - 0.06(u^2)_{xxx} - 0.09(u)_{xxxx},"['(u)', '(u^2)_{x}', '(u)_{xx}', '(u^2)_{xxx}', '(u)_{xxxx}']","[0.1176846509786692, -0.27308371199165105, 0.0413759655704921, -0.05759684592626036, -0.09195612816829009]",5,0.4781825637855168,0.445965209193128,0.744335132026499,32.80655184447569,1.0413759655704922
"[9, 15]","[15, 12]",0.004832930238571752,False,u_{t} = + 0.12(u) - 0.27(u^2)_{x} + 0.04(u)_{xx} - 0.06(u^2)_{xxx} - 0.09(u)_{xxxx},"['(u)', '(u^2)_{x}', '(u)_{xx}', '(u^2)_{xxx}', '(u)_{xxxx}']","[0.1176846509786692, -0.27308371199165105, 0.0413759655704921, -0.05759684592626036, -0.09195612816829009]",5,0.4781825637855168,0.445965209193128,0.744335132026499,32.80655184447569,1.0413759655704922
"[9, 15]","[15, 12]",0.007847599703514606,False,u_{t} = + 0.12(u) - 0.27(u^2)_{x} + 0.04(u)_{xx} - 0.06(u^2)_{xxx} - 0.09(u)_{xxxx},"['(u)', '(u^2)_{x}', '(u)_{xx}', '(u^2)_{xxx}', '(u)_{xxxx}']","[0.1176846509786692, -0.27308371199165105, 0.0413759655704921, -0.05759684592626036, -0.09195612816829009]",5,0.4781825637855168,0.445965209193128,0.744335132026499,32.80655184447569,1.0413759655704922
"[9, 15]","[15, 12]",0.012742749857031334,False,u_{t} = + 0.12(u) - 0.27(u^2)_{x} + 0.04(u)_{xx} - 0.06(u^2)_{xxx} - 0.09(u)_{xxxx},"['(u)', '(u^2)_{x}', '(u)_{xx}', '(u^2)_{xxx}', '(u)_{xxxx}']","[0.1176846509786692, -0.27308371199165105, 0.0413759655704921, -0.05759684592626036, -0.09195612816829009]",5,0.4781825637855168,0.445965209193128,0.744335132026499,32.80655184447569,1.0413759655704922
"[9, 15]","[15, 12]",0.0206913808111479,False,u_{t} = + 0.12(u) - 0.27(u^2)_{x} + 0.04(u)_{xx} - 0.06(u^2)_{xxx} - 0.09(u)_{xxxx},"['(u)', '(u^2)_{x}', '(u)_{xx}', '(u^2)_{xxx}', '(u)_{xxxx}']","[0.1176846509786692, -0.27308371199165105, 0.0413759655704921, -0.05759684592626036, -0.09195612816829009]",5,0.4781825637855168,0.445965209193128,0.744335132026499,32.80655184447569,1.0413759655704922
"[9, 15]","[15, 12]",0.03359818286283781,False,u_{t} = + 0.12(u) - 0.27(u^2)_{x} + 0.04(u)_{xx} - 0.06(u^2)_{xxx} - 0.09(u)_{xxxx},"['(u)', '(u^2)_{x}', '(u)_{xx}', '(u^2)_{xxx}', '(u)_{xxxx}']","[0.1176846509786692, -0.27308371199165105, 0.0413759655704921, -0.05759684592626036, -0.09195612816829009]",5,0.4781825637855168,0.445965209193128,0.744335132026499,32.80655184447569,1.0413759655704922
"[9, 15]","[15, 12]",0.05455594781168514,False,u_{t} = + 0.10(u) - 0.27(u^2)_{x} - 0.06(u^2)_{xxx} - 0.11(u)_{xxxx},"['(u)', '(u^2)_{x}', '(u^2)_{xxx}', '(u)_{xxxx}']","[0.10266992483657439, -0.2695938592382939, -0.05582763330754245, -0.10813662437239144]",4,0.44537488509807444,0.44323327286917047,0.746168027379098,32.80655184447569,1.0
"[9, 15]","[15, 12]",0.08858667904100823,False,u_{t} = - 0.06(u^2)_{x},['(u^2)_{x}'],[-0.0586760041197765],1,0.9536514989771577,0.11408613314910265,0.9412299738066904,32.80655184447569,1.0
"[9, 15]","[15, 12]",0.14384498882876628,False,u_{t} = - 0.06(u^2)_{x},['(u^2)_{x}'],[-0.0586760041197765],1,0.9536514989771577,0.11408613314910265,0.9412299738066904,32.80655184447569,1.0
"[9, 15]","[15, 12]",0.23357214690901212,False,u_{t} = - 0.06(u^2)_{x},['(u^2)_{x}'],[-0.0586760041197765],1,0.9536514989771577,0.11408613314910265,0.9412299738066904,32.80655184447569,1.0
